pyr,videotime
-0.03250016,549.55
-0.03733213,549.583333333333
-0.03185104,549.616666666667
-0.02665961,549.65
-0.01533401,549.683333333333
0.01005329,549.716666666667
0.03437616,549.75
0.05311799,549.783333333333
0.05873336,549.816666666667
0.04121098,549.85
0.01431605,549.883333333333
-0.02094624,549.916666666667
-0.05849973,549.95
-0.07626203,549.983333333333
-0.06991877,550.016666666667
-0.05472915,550.05
-0.02446265,550.083333333333
0.01650705,550.116666666667
0.04040489,550.15
0.05153921,550.183333333333
0.05335713,550.216666666667
0.0435114,550.25
0.03420777,550.283333333333
0.01681429,550.316666666667
-0.006696903,550.35
-0.03018799,550.383333333333
-0.04692577,550.416666666667
-0.0342202,550.45
-0.006298834,550.483333333333
0.02013449,550.516666666667
0.03983772,550.55
0.03953875,550.583333333333
0.02975933,550.616666666667
0.01662748,550.65
-0.01186081,550.683333333333
-0.0397662,550.716666666667
-0.05485899,550.75
-0.05072174,550.783333333333
-0.04058566,550.816666666667
-0.0237864,550.85
0.01257484,550.883333333333
0.04988315,550.916666666667
0.06777569,550.95
0.06137496,550.983333333333
0.04758423,551.016666666667
0.02639975,551.05
0.00382768,551.083333333333
-0.02312051,551.116666666667
-0.06052305,551.15
-0.08987004,551.183333333333
-0.0905524,551.216666666667
-0.05931488,551.25
-0.007355822,551.283333333333
0.05407352,551.316666666667
0.09491543,551.35
0.1038212,551.383333333333
0.0848346,551.416666666667
0.04844626,551.45
0.005770109,551.483333333333
-0.04782078,551.516666666667
-0.1043644,551.55
-0.1348238,551.583333333333
-0.1195601,551.616666666667
-0.06274077,551.65
0.008979526,551.683333333333
0.07411316,551.716666666667
0.1227569,551.75
0.1402463,551.783333333333
0.119266,551.816666666667
0.06622351,551.85
-0.009816958,551.883333333333
-0.08923797,551.916666666667
-0.1384193,551.95
-0.1473508,551.983333333333
-0.1253828,552.016666666667
-0.06895208,552.05
0.01930914,552.083333333333
0.1114914,552.116666666667
0.1724527,552.15
0.1844136,552.183333333333
0.1413727,552.216666666667
0.05249409,552.25
-0.04900294,552.283333333333
-0.138198,552.316666666667
-0.181677,552.35
-0.1774846,552.383333333333
-0.1399246,552.416666666667
-0.06126463,552.45
0.04209842,552.483333333333
0.1347984,552.516666666667
0.1880645,552.55
0.1827005,552.583333333333
0.1160732,552.616666666667
0.01714864,552.65
-0.08241191,552.683333333333
-0.1512151,552.716666666667
-0.1697434,552.75
-0.1439801,552.783333333333
-0.07765805,552.816666666667
0.01474167,552.85
0.1051062,552.883333333333
0.1723033,552.916666666667
0.1995295,552.95
0.1658564,552.983333333333
0.07791706,553.016666666667
-0.03157385,553.05
-0.1414458,553.083333333333
-0.2171861,553.116666666667
-0.2366184,553.15
-0.1933981,553.183333333333
-0.09831744,553.216666666667
0.02104355,553.25
0.1436641,553.283333333333
0.2171789,553.316666666667
0.2346347,553.35
0.2042401,553.383333333333
0.112932,553.416666666667
-0.01192207,553.45
-0.1231143,553.483333333333
-0.1901627,553.516666666667
-0.2067893,553.55
-0.1781302,553.583333333333
-0.1053654,553.616666666667
0.0004843441,553.65
0.1086712,553.683333333333
0.1905265,553.716666666667
0.2115889,553.75
0.1686953,553.783333333333
0.08186486,553.816666666667
-0.02030911,553.85
-0.112504,553.883333333333
-0.17757,553.916666666667
-0.1911162,553.95
-0.1570968,553.983333333333
-0.07994661,554.016666666667
0.02315488,554.05
0.1142994,554.083333333333
0.170748,554.116666666667
0.1790463,554.15
0.1401345,554.183333333333
0.06465932,554.216666666667
-0.03099576,554.25
-0.1218048,554.283333333333
-0.1803608,554.316666666667
-0.1848556,554.35
-0.1401795,554.383333333333
-0.05709388,554.416666666667
0.04532982,554.45
0.1427107,554.483333333333
0.2086329,554.516666666667
0.2228144,554.55
0.1827481,554.583333333333
0.0884339,554.616666666667
-0.03048371,554.65
-0.1513536,554.683333333333
-0.2437171,554.716666666667
-0.272516,554.75
-0.2155488,554.783333333333
-0.09890074,554.816666666667
0.03405028,554.85
0.1641262,554.883333333333
0.2381391,554.916666666667
0.2449446,554.95
0.190064,554.983333333333
0.0807867,555.016666666667
-0.04550192,555.05
-0.146907,555.083333333333
-0.197261,555.116666666667
-0.1920664,555.15
-0.1428835,555.183333333333
-0.06087643,555.216666666667
0.03545175,555.25
